26647,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26673,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26699,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26718,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26744,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26770,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26789,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26815,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26841,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26860,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26886,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26912,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26931,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26957,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26983,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
27002,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
27028,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
27054,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
27073,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
27099,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
27125,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
27144,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
27170,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
27196,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
